"screen_name","gender","user_followers_count","post_date","text","text_cleaned","polarity","tweet_length","relevance_score"
"visitortwt1","female",592,"2020-11-03T08:27:37Z","Pak  adalah Presiden terkuat selama 22 tahun  Beliau hanyalah tukang kayu yg Kurus   Pepo yang Jendral brrti LEMAH gtu         Badan memang gak menjadi tolak ukur org itu kuat atw lemah     Kalahkan Kovid"," presiden terkuat beliau tukang kayu yg kurus pepo jendral brrti lemah gtu badan gak tolak ukur org kuat atw lemah kalahkan kovid","negative",35,0.03774688
"LILApama2011","male",13672,"2020-11-03T08:27:39Z","SJW AktifisRp  amp  KadrunRp teriak2 Tolak OBL diframing  sebagai Kitab Oligarkhi padahal 7an OBL itu justru memberangus Oligarkhi  amp    Lo teriak   Turunkan Jokowi   Kampret  Setingan Lo sudah terbaca Nyet ","sjw aktifisrp amp kadrunrp teriak tolak obl diframing kitab oligarkhi an obl memberangus oligarkhi amp lo teriak turunkan jokowi kampret setingan lo terbaca nyet ","negative",33,0.06084944
"detikcom","male",16251294,"2020-11-03T08:27:40Z","Omnibus Law Cipta Kerja sudah ditandatangani Presiden Jokowi  Netizen penasaran apa ini artinya paranormal resmi dalam layanan kesehatan   ","omnibus law cipta kerja ditandatangani presiden jokowi netizen penasaran paranormal resmi layanan kesehatan ","negative",19,0.21591983
"Tengku_Minyak","female",1145,"2020-11-03T08:25:09Z","SJW AktifisRp  amp  KadrunRp teriak2 Tolak OBL diframing  sebagai Kitab Oligarkhi padahal 7an OBL itu justru memberangus Oligarkhi  amp    Lo teriak   Turunkan Jokowi   Kampret  Setingan Lo sudah terbaca Nyet ","sjw aktifisrp amp kadrunrp teriak tolak obl diframing kitab oligarkhi an obl memberangus oligarkhi amp lo teriak turunkan jokowi kampret setingan lo terbaca nyet ","negative",33,0.06084944
"rudyfox99","male",326,"2020-11-03T08:25:11Z","Kata dia  malaikat aja kalau masuk sistem bisa jadi iblis  Apakah dia msh konsisten dg ucapannya  "," malaikat aja masuk sistem iblis msh konsisten dg ucapannya ","negative",16,0.00103479
"bs_vito","female",1263,"2020-11-03T08:25:12Z","Omnibus Law itu bertujuan untuk memudahkan yang riber ribet menjadi lebih sederhana  Kalahkan Kovid ","omnibus law bertujuan memudahkan riber ribet sederhana kalahkan kovid ","negative",15,0.12304854
"frontmudarev","male",272,"2020-11-03T08:26:56Z","TELAH TERBIT EDISI 11 KORAN REVOLUSIONER   melawan Omnibus Law sepertinya kita dikalahkan  tapi ini jauh dari akhir segalanya    "," terbit edisi koran revolusioner melawan omnibus law dikalahkan ","negative",20,0.10780808
"seruanhl","male",18786,"2020-11-03T08:27:01Z","SJW AktifisRp  amp  KadrunRp teriak2 Tolak OBL diframing  sebagai Kitab Oligarkhi padahal 7an OBL itu justru memberangus Oligarkhi  amp    Lo teriak   Turunkan Jokowi   Kampret  Setingan Lo sudah terbaca Nyet ","sjw aktifisrp amp kadrunrp teriak tolak obl diframing kitab oligarkhi an obl memberangus oligarkhi amp lo teriak turunkan jokowi kampret setingan lo terbaca nyet ","negative",33,0.06084944
"ida2friani","female",1851,"2020-11-03T08:27:30Z","OMNIBUS  LAW    Mendorong Pertumbuhan  amp  Kemajuan Ekonomijuga dapat menjadi Kunci Indonesia menjadi Negara Maju  LAW Adalah Rencana Besar Pembangunan   Utk  Masa Depan Indonesia  ","omnibus law mendorong pertumbuhan amp kemajuan ekonomijuga kunci indonesia negara maju law rencana pembangunan utk indonesia ","positive",25,0.19417825
"Briannariksaa","male",40,"2020-11-03T08:27:31Z","Kabar terbaru  Jokowi resmi menandatangani omnibus law UU Cipta Kerja pada Senin  2 11   Peraturan itu bernomor UU Nomor 11 Tahun 2020  Tebalnya 1 187 halaman ","kabar terbaru jokowi resmi menandatangani omnibus law uu cipta kerja senin peraturan bernomor uu nomor tebalnya halaman ","negative",21,0.22699871
